"id"|"doi"
1|"10.1155/2020/8828855"
2|"10.1016/j.imu.2020.100427"
3|"10.1007/s00259-020-05075-4"
4|"10.26355/eurrev_202011_23640"
5|"10.1016/j.ejro.2020.100272"
6|"10.1109/ACCESS.2020.3016780"
7|"10.3390/INFO11090419"
8|"10.1007/978-981-15-6572-4_7"
9|"10.1007/s10489-020-02076-6"
10|"10.1109/JBHI.2020.3042523"
11|"10.1007/s00330-020-07225-6"
14|"10.7150/ijms.46684"
15|"10.32604/cmes.2020.011920"
16|"10.3844/JCSSP.2020.620.625"
17|"10.1007/s40670-020-01133-6"
19|"10.1109/JIOT.2020.3044031"
20|"10.1109/MNET.011.2000458"
21|"10.1080/07391102.2020.1788642"
22|"10.1109/TBDATA.2020.3035935"
23|"10.1109/ACCESS.2020.3019989"
24|"10.1007/s10489-020-02055-x"
25|"10.1109/ACCESS.2020.3018498"
26|"10.1109/ACCESS.2020.2994762"
27|"10.1007/s00500-020-05424-3"
28|"10.3233/XST-200720"
29|"10.1080/07391102.2020.1802341"
30|"10.34171/mjiri.34.174"
31|"10.4015/S1016237221500101"
33|"10.32604/cmc.2020.012585"
34|"10.32604/cmc.2020.012423"
35|"10.1007/s10489-020-02002-w"
36|"10.1007/s00521-020-05437-x"
37|"10.1007/s10489-020-01900-3"
39|"10.1109/ACCESS.2020.3025164"
40|"10.1007/s10489-020-01902-1"
41|"10.1109/MNET.011.2000353"
43|"10.1109/ACCESS.2020.3021983"
44|"10.1109/ACCESS.2020.3022366"
46|"10.1007/s10489-020-01714-3"
48|"10.1080/02508281.2020.1777053"
50|"10.1117/12.2575919"
51|"10.1007/978-3-030-62469-9_8"
52|"10.1007/s00330-020-07553-7"
53|"10.1007/978-3-030-65775-8_6"
54|"10.1088/1757-899X/981/2/022041"
55|"10.1109/ACCESS.2020.3003810"
56|"10.1080/07391102.2020.1767212"
57|"10.1007/s41870-020-00550-5"
59|"10.1007/978-3-030-61834-6_20"
60|"10.1155/2020/9756518"
61|"10.3145/epi.2020.nov.27"
62|"10.3233/JIFS-189271"
63|"10.1109/ACCESS.2020.3040245"
65|"10.1142/S0219467821400106"
66|"10.3233/JIFS-189270"
67|"10.1109/TBDATA.2020.3032839"
68|"10.1007/s11036-020-01650-z"
69|"10.14569/IJACSA.2020.0110780"
70|"10.22037/jcma.v5i1.29752"
71|"10.1007/978-3-030-62469-9_6"
72|"10.32604/cmc.2020.013232"
73|"10.1080/02664763.2020.1849057"
74|"10.25046/aj050522"
75|"10.1016/j.imu.2020.100412"
76|"10.1109/ACCESS.2020.3005510"
77|"10.33168/JSMS.2020.0302"
78|"10.1007/978-3-030-52791-4_27"
79|"10.1109/ACCESS.2020.3001973"
80|"10.1007/s11042-020-10010-8"
81|"10.2147/TCRM.S280726"
86|"10.1155/2020/8889023"
89|"10.3934/microbiol.2020013"
90|"10.1016/j.procs.2020.11.031"
91|"10.3233/JIFS-189307"
92|"10.1007/s10489-020-02010-w"
93|"10.1007/s10489-020-01965-0"
94|"10.1021/acsabm.0c01004"
95|"10.1016/j.irbm.2020.07.001"
96|"10.1155/2020/8857346"
97|"10.5152/dir.2020.20407"
98|"10.1177/2150132720963634"
99|"10.1007/s00330-020-07269-8"
100|"10.1109/ACCESS.2020.3010287"
101|"10.33889/IJMEMS.2020.5.4.052"
102|"10.1007/s00330-020-07401-8"
103|"10.3390/E22050517"
104|"10.1016/j.compbiomed.2020.103805"
105|"10.1016/j.ejrad.2020.109041"
106|"10.3390/v12070769"
107|"10.1007/s40846-020-00529-4"
108|"10.1177/0165551520959798"
109|"10.1007/s10489-020-02019-1"
112|"10.1088/1742-6596/1518/1/012041"
113|"10.18280/ria.340310"
114|"10.1016/j.chaos.2020.109864"
115|"10.2196/19569"
116|"10.1109/ICCIA49625.2020.00026"
117|"10.1109/ISCV49265.2020.9204282"
118|"10.18280/isi.250305"
119|"10.1007/s13246-020-00865-4"
120|"10.3390/s20123543"
121|"10.13203/j.whugis20200225"
122|"10.1145/3372278.3388042"
123|"10.18280/ts.370313"
124|"10.32604/cmc.2020.011316"
125|"10.14445/22315381/IJETT-V68I7P212S"
126|"10.3390/app10134640"
127|"10.1109/ICCCNT49239.2020.9225543"
128|"10.1371/journal.pone.0236621"
129|"10.1183/13993003.00775-2020"
130|"10.1007/s00264-020-04609-7"
131|"10.3389/fmed.2020.00427"
132|"10.3389/fbioe.2020.00898"
133|"10.1109/MNET.011.2000458"
135|"10.1109/MNET.011.2000353"
136|"10.1109/ICEIEC49280.2020.9152329"
137|"10.1109/ICCCNT49239.2020.9225478"
138|"10.30534/ijatcse/2020/33942020"
139|"10.2196/20794"
140|"10.1109/ICCCNT49239.2020.9225521"
141|"10.1109/ICIRCA48905.2020.9183278"
142|"10.2196/20493"
143|"10.30534/ijatcse/2020/212942020"
144|"10.1016/j.mehy.2020.109761"
145|"10.1109/ISIEA49364.2020.9188133"
146|"10.3390/v12070776"
147|"10.1016/j.compbiomed.2020.103869"
148|"10.1177/1535370220938315"
149|"10.1108/IJPCC-06-2020-0060"
150|"10.1109/TMI.2020.2995965"
151|"10.2196/21173"
152|"10.1109/ICSGRC49013.2020.9232610"
154|"10.1148/radiol.2020200905"
155|"10.1007/s00138-020-01101-5"
156|"10.1109/TMI.2020.2994459"
158|"10.1093/jamia/ocaa105"
159|"10.1002/minf.202000028"
160|"10.1109/ICSSIT48917.2020.9214132"
161|"10.1109/UCET51115.2020.9205424"
162|"10.3390/app10165683"
163|"10.1109/INISTA49547.2020.9194651"
164|"10.1109/TMI.2020.3000314"
165|"10.1109/DASC-PICom-CBDCom-CyberSciTech49142.2020.00064"
166|"10.1109/TMI.2020.3001810"
168|"10.1088/1742-6596/1601/5/052021"
169|"10.1109/iCCECE49321.2020.9231235"
170|"10.3389/fmed.2020.00550"
171|"10.3389/fmed.2020.00541"
172|"10.7507/1001-5515.202005056"
174|"10.1109/INTERCON50315.2020.9220237"
175|"10.30534/ijatcse/2020/77952020"
176|"10.1016/j.chaos.2020.110148"
